state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
CA,36,T. LIEU,J. COLLINS,dem,0,0.70705,0.99955,0.67517,0.62969,0.65171,0.69936,0.71944
CA,37,,,open,1,0.86354,1,,,,,
CA,38,L. SÁNCHEZ,E. CHING,dem,0,0.63327,0.99085,0.61575,0.55801,0.58502,0.64696,0.67526
CA,39,M. TAKANO,A. SMITH,dem,0,0.61039,0.99129,0.59324,0.548,0.57027,0.6169,0.63673
CA,40,A. MAHMOOD,Y. KIM,gop,0,0.49027,0.09464,0.43824,0.37941,0.40621,0.46752,0.49837
CA,41,W. ROLLINS,K. CALVERT,gop,0,0.47489,0.18482,0.46075,0.40506,0.43009,0.48972,0.51802
CA,42,R. GARCIA,J. BRISCOE,open,0,0.71496,0.99888,0.65393,0.60417,0.62842,0.68052,0.70366
CA,43,M. WATERS,O. NAVARRO,dem,0,0.81243,1,0.74434,0.70674,0.72592,0.76414,0.78094
CA,44,N. BARRAGÁN,P. JONES,dem,0,0.73012,1,0.70327,0.65049,0.67714,0.73095,0.75474
CA,45,J. CHEN,M. STEEL,gop,0,0.50803,0.20558,0.46544,0.41149,0.43737,0.49342,0.51832
CA,46,L. CORREA,C. GONZALES,dem,0,0.63339,0.99487,0.61967,0.56738,0.59194,0.64832,0.67185
CA,47,K. PORTER,S. BAUGH,dem,0,0.53265,0.72969,0.52743,0.47007,0.49743,0.55754,0.58446
CA,48,S. HOULAHAN,D. ISSA,gop,0,0.4181,0.02344,0.40805,0.35349,0.37837,0.4367,0.46515
CA,49,M. LEVIN,B. MARYOTT,dem,0,0.53411,0.60781,0.51093,0.46536,0.48588,0.53584,0.55825
CA,50,S. PETERS,C. GUSTAFSON,dem,0,0.65252,0.9942,0.61776,0.56527,0.59211,0.64552,0.66811
CA,51,S. JACOBS,S. CAPLAN,dem,0,0.61816,0.98638,0.60225,0.54078,0.57061,0.63411,0.66264
CA,52,J. VARGAS,T. GEFFENEY,dem,0,0.66893,0.99955,0.65615,0.6053,0.63145,0.68254,0.70479
CO,1,D. DEGETTE,J. QUALTERI,dem,0,0.7994,1,0.76249,0.72229,0.74278,0.78361,0.80045
CO,2,J. NEGUSE,M. DAWSON,dem,0,0.68675,0.99933,0.65287,0.604,0.6278,0.67977,0.70224
CO,3,A. FRISCH,L. BOEBERT,gop,0,0.43508,0.02567,0.40582,0.34815,0.37384,0.43707,0.4652
