state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
TX,5,gop,0,0.3654,0.0018,0.3437,0.2925,0.3158,0.3704,0.3962
TX,6,gop,1,NA,0,NA,NA,NA,NA,NA
TX,7,dem,0,0.6299,0.9955,0.6238,0.574,0.5994,0.6494,0.673
TX,8,open,0,0.3413,0.0018,0.3371,0.285,0.3101,0.3625,0.3906
TX,9,dem,0,0.7526,1,0.7411,0.6964,0.7203,0.7644,0.7828
TX,10,gop,0,0.3839,0.004,0.3611,0.3096,0.3335,0.3864,0.4146
TX,11,gop,1,NA,0,NA,NA,NA,NA,NA
TX,12,gop,0,0.3852,0.003,0.3611,0.3098,0.3345,0.3873,0.4117
TX,13,gop,0,0.2508,0,0.2396,0.1958,0.2157,0.2611,0.2858
TX,14,gop,0,0.3343,8e-4,0.3146,0.2659,0.2883,0.3398,0.3643
TX,15,open,0,0.4639,0.1238,0.4516,0.3971,0.4237,0.4786,0.506
TX,16,dem,0,0.6606,0.9985,0.6533,0.6045,0.6292,0.6787,0.7026
TX,17,gop,0,0.3616,0.0015,0.341,0.2918,0.3136,0.3663,0.392
TX,18,dem,0,0.7281,1,0.7165,0.6707,0.6949,0.7396,0.7606
TX,19,gop,1,NA,0,NA,NA,NA,NA,NA
TX,20,dem,0,0.648,0.9975,0.641,0.5921,0.6177,0.6651,0.6892
TX,21,gop,0,0.3782,0.0027,0.3556,0.3053,0.328,0.3813,0.4075
TX,22,gop,0,0.3968,0.0065,0.3721,0.3211,0.3449,0.3982,0.4248
TX,23,gop,0,0.4435,0.0238,0.4114,0.358,0.3845,0.4379,0.4641
TX,24,gop,0,0.4152,0.0102,0.3894,0.3374,0.3614,0.4155,0.4418
TX,25,gop,1,NA,0,NA,NA,NA,NA,NA
TX,26,gop,1,NA,0,NA,NA,NA,NA,NA
TX,27,gop,0,0.365,0.0027,0.3444,0.2931,0.3174,0.3698,0.3966
TX,28,dem,0,0.5125,0.711,0.522,0.4698,0.4956,0.5488,0.576
TX,29,dem,0,0.6664,0.9985,0.6583,0.6094,0.6346,0.6842,0.7066
TX,30,open,0,0.7715,1,0.7465,0.7033,0.7261,0.7696,0.7884
TX,31,gop,1,NA,0,NA,NA,NA,NA,NA
TX,32,dem,0,0.646,0.9975,0.6389,0.5906,0.615,0.6639,0.6868
TX,33,dem,0,0.73740000000000006,0.9998,0.7258,0.6811,0.7048,0.7486,0.7687
TX,34,dem,0,0.5562,0.9208,0.5576,0.5057,0.5316,0.5845,0.6096
TX,35,open,0,0.708,1,0.6839,0.6383,0.6616,0.7078,0.7296
TX,36,gop,0,0.3207,5e-4,0.3033,0.2562,0.2774,0.3277,0.3515
TX,37,dem,0,0.7525,1,0.7415,0.6986,0.7219,0.7634,0.782
TX,38,open,0,0.3864,0.0063,0.3789,0.3277,0.352,0.4057,0.4325
UT,1,gop,0,0.3768,0.0018,0.3453,0.2946,0.318,0.3715,0.3965
UT,2,gop,0,0.3886,0.0032,0.3574,0.3056,0.3294,0.3832,0.4102
UT,3,gop,0,0.3766,0.0015,0.3449,0.2931,0.3175,0.3698,0.398
UT,4,gop,0,0.3433,8e-4,0.3158,0.2674,0.2889,0.3408,0.3679
VA,1,gop,0,0.4442,0.0332,0.4149,0.3622,0.387,0.4419,0.4688
VA,2,dem,0,0.4878,0.435,0.4938,0.4402,0.466,0.5215,0.5487
VA,3,dem,0,0.6753,0.9985,0.6663,0.6165,0.6432,0.6913,0.7134
VA,4,dem,0,0.6619,0.9985,0.6535,0.605,0.6303,0.6779,0.7004
VA,5,gop,0,0.4359,0.0253,0.4086,0.3559,0.3797,0.4358,0.4634
VA,6,gop,0,0.3657,0.0025,0.3438,0.2933,0.3163,0.369,0.3967
VA,7,dem,0,0.511,0.6567,0.5162,0.4622,0.4892,0.5429,0.5696
VA,8,dem,0,0.7677,1,0.755,0.7134,0.7354,0.7762,0.7964
VA,9,gop,0,0.2682,8e-4,0.2558,0.2109,0.2307,0.2773,0.304
VA,10,dem,0,0.5706,0.9475,0.5696,0.5178,0.5418,0.5969,0.6234
VA,11,dem,0,0.6903,0.9992,0.6807,0.6325,0.6578,0.7056,0.728
VT,1,open,0,0.663,0.9982,0.6545,0.6053,0.6305,0.6803,0.7021
WA,1,dem,0,0.6372,0.9932,0.6215,0.5715,0.5971,0.6467,0.6719
WA,2,dem,0,0.5959,0.9728,0.5819,0.5296,0.555,0.6086,0.6341
WA,3,gop,0,0.456,0.034,0.4177,0.3645,0.3905,0.4453,0.4731
WA,4,gop,0,0.3912,0.0032,0.3561,0.3057,0.3294,0.3808,0.4095
WA,5,gop,0,0.4264,0.0098,0.3901,0.337,0.3631,0.4169,0.4435
WA,6,dem,0,0.5663,0.8948,0.5529,0.4983,0.5268,0.581,0.6058
WA,7,dem,0,0.8758,1,0.8576,0.826,0.8429,0.8746,0.8887
WA,8,dem,0,0.5116,0.5792,0.5086,0.4533,0.4812,0.5368,0.5634
WA,9,dem,0,0.7116,0.9992,0.6937,0.6474,0.6701,0.7184,0.7397
WA,10,dem,0,0.5699,0.9172,0.5578,0.5048,0.5313,0.5854,0.6107
WI,1,gop,0,0.4671,0.0737,0.4396,0.3872,0.4119,0.466,0.4931
WI,2,dem,0,0.6926,0.9995,0.6876,0.6422,0.6656,0.7105,0.7328
WI,3,open,0,0.4534,0.0928,0.4435,0.3906,0.4154,0.4704,0.4981
WI,4,dem,0,0.7522,0.9998,0.7444,0.7024,0.7236,0.7654,0.7848
WI,5,gop,0,0.3628,0.0018,0.3452,0.2955,0.3193,0.3699,0.3967
WI,6,gop,1,NA,0,NA,NA,NA,NA,NA
WI,7,gop,0,0.3772,0.004,0.359,0.3058,0.3311,0.3856,0.4135
WI,8,gop,1,NA,0,NA,NA,NA,NA,NA
WV,1,gop,0,0.2738,3e-4,0.2612,0.2162,0.2362,0.2828,0.3077
WV,2,gop,0,0.2924,8e-4,0.2784,0.2318,0.2525,0.3021,0.3268
WY,1,open,0,0.2575,8e-4,0.253,0.2076,0.2275,0.275,0.3008
