state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
KY,2,gop,0,0.2936,0,0.279,0.2324,0.2537,0.3023,0.3274
KY,3,open,0,0.5929,0.9578,0.5732,0.52,0.5474,0.6006,0.6251
KY,4,gop,0,0.3142,5e-4,0.2972,0.2498,0.2717,0.3211,0.3479
KY,5,gop,0,0.1831,0,0.1777,0.1407,0.1566,0.1956,0.218
KY,6,gop,0,0.421,0.0132,0.3944,0.3424,0.3668,0.4209,0.4483
LA,1,gop,0,0.2802,3e-4,0.2668,0.2213,0.2425,0.2886,0.315
LA,2,dem,0,0.7514,0.9998,0.7405,0.6977,0.7206,0.7625,0.7826
LA,3,open,0,0.2893,5e-4,0.2895,0.2412,0.2633,0.3137,0.3396
LA,4,open,0,0.3567,0.0018,0.3522,0.3005,0.3255,0.378,0.4058
LA,5,open,0,0.3291,0.001,0.3266,0.2772,0.301,0.3516,0.3765
LA,6,open,0,0.3087,8e-4,0.3068,0.2579,0.2799,0.3309,0.3582
MA,1,dem,0,0.5889,0.9845,0.6004,0.5489,0.5739,0.6269,0.653
MA,2,dem,0,0.6367,0.9982,0.6451,0.5953,0.6205,0.6714,0.6942
MA,3,dem,0,0.617,0.9965,0.6328,0.5828,0.6081,0.6585,0.6806
MA,4,dem,1,NA,1,NA,NA,NA,NA,NA
MA,5,dem,0,0.7431,1,0.744,0.7016,0.7241,0.766,0.7843
MA,6,dem,0,0.6208,0.9962,0.6303,0.5813,0.6057,0.6554,0.6778
MA,7,dem,0,0.8574,1,0.8525,0.8214,0.8378,0.8687,0.8823
MA,8,dem,0,0.6603,0.9992,0.6669,0.6196,0.6436,0.691,0.7146
MA,9,dem,0,0.5708,0.9708,0.583,0.5308,0.557,0.6104,0.6358
MD,1,gop,0,0.4038,0.007,0.381,0.3306,0.3526,0.4068,0.4352
MD,2,dem,0,0.5855,0.971,0.5807,0.528,0.5557,0.6065,0.6314
MD,3,dem,0,0.6086,0.9882,0.6027,0.5506,0.577,0.6289,0.6552
MD,4,open,0,0.9048,0.9998,0.885,0.8547,0.8716,0.9007,0.9128
MD,5,dem,0,0.6633,0.9978,0.6544,0.605,0.6305,0.6789,0.702
MD,6,dem,0,0.5281,0.8085,0.5355,0.4813,0.5091,0.5622,0.5901
MD,7,dem,0,0.8074,1,0.7942,0.7563,0.7768,0.8135,0.8308
MD,8,dem,0,0.8043,0.9998,0.7906,0.7515,0.7727,0.8109,0.8277
ME,1,dem,0,0.5954,0.9862,0.6069,0.5562,0.5832,0.6328,0.6566
ME,2,dem,0,0.446,0.2748,0.4753,0.4189,0.4477,0.5033,0.5301
MI,1,gop,0,0.3777,0.002,0.3589,0.3098,0.3328,0.3847,0.4094
MI,2,gop,0,0.3357,3e-4,0.3209,0.2724,0.2943,0.3449,0.3703
MI,3,open,0,0.5204,0.6022,0.5103,0.4557,0.4828,0.5371,0.564
MI,4,gop,0,0.4576,0.059,0.4323,0.3805,0.4053,0.4586,0.485
MI,5,gop,0,0.3559,0.0013,0.3386,0.289,0.3123,0.3634,0.389
MI,6,dem,0,0.6143,0.994,0.6141,0.5645,0.5894,0.6405,0.6637
MI,7,dem,0,0.4824,0.4192,0.4929,0.4394,0.4663,0.5194,0.5486
MI,8,dem,0,0.4877,0.4845,0.4977,0.4439,0.471,0.525,0.5513
MI,9,gop,0,0.3299,3e-4,0.3156,0.2677,0.2895,0.3403,0.3672
MI,10,open,0,0.4727,0.1725,0.4606,0.4071,0.4329,0.4875,0.5166
MI,11,dem,0,0.5782,0.9628,0.5792,0.5279,0.5541,0.6054,0.6314
MI,12,dem,0,0.7277,1,0.7208,0.6775,0.7007,0.7433,0.7631
MI,13,open,0,0.7326,0.999,0.7123,0.6684,0.6915,0.735,0.7552
MN,1,gop,0,0.4305,0.0243,0.4103,0.3592,0.3832,0.4355,0.4628
MN,2,dem,0,0.5142,0.6815,0.5196,0.4667,0.4923,0.5468,0.5733
MN,3,dem,0,0.5849,0.98,0.5929,0.5422,0.5685,0.6187,0.6436
MN,4,dem,0,0.6741,0.9992,0.6705,0.621,0.6471,0.6952,0.7171
MN,5,dem,0,0.8082,1,0.7992,0.7635,0.7816,0.8182,0.8349
MN,6,gop,0,0.3883,0.0035,0.36870000000000003,0.3179,0.3411,0.3955,0.4229
MN,7,gop,0,0.311,8e-4,0.299,0.252,0.2726,0.3224,0.3475
MN,8,gop,0,0.4201,0.0118,0.3946,0.3448,0.3675,0.4204,0.4484
MO,1,dem,0,0.7812,1,0.772,0.7321,0.7537,0.7923,0.8094
MO,2,gop,0,0.4382,0.026,0.4115,0.3602,0.3845,0.438,0.4638
MO,3,gop,0,0.3463,0.0013,0.3297,0.281,0.3036,0.3539,0.3807
MO,4,open,0,0.2788,0,0.2823,0.2364,0.2567,0.3053,0.3304
MO,5,dem,0,0.6134,0.9912,0.6129,0.5641,0.5881,0.6376,0.663
MO,6,gop,0,0.2925,8e-4,0.2808,0.2333,0.2554,0.3042,0.3309
MO,7,open,0,0.2708,3e-4,0.2756,0.228,0.2505,0.2991,0.3255
MO,8,gop,0,0.2237,0,0.218,0.1754,0.1945,0.2393,0.2619
MS,1,gop,0,0.3192,5e-4,0.3029,0.2564,0.2773,0.3268,0.3522
MS,2,dem,0,0.6107,0.992,0.6066,0.5554,0.5817,0.6325,0.6571
MS,3,gop,0,0.3556,0.001,0.3356,0.2855,0.308,0.3611,0.389
MS,4,open,0,0.2881,5e-4,0.2875,0.2379,0.2619,0.3121,0.3378
MT,1,open,0,0.4419,0.04,0.4226,0.369,0.3944,0.4497,0.4774
MT,2,gop,0,0.3418,0.001,0.3151,0.2654,0.2883,0.3402,0.3662
NC,1,open,0,0.5142,0.4938,0.5001,0.4467,0.4722,0.527,0.5543
NC,2,dem,0,0.6252,0.994,0.6192,0.5691,0.5943,0.6444,0.6691
NC,3,gop,0,0.3506,0.0013,0.3301,0.2811,0.303,0.3544,0.3818
NC,4,open,0,0.6575,0.9962,0.6348,0.5828,0.6096,0.661,0.6856
NC,5,gop,0,0.3704,0.003,0.3478,0.2959,0.3197,0.3739,0.4015
NC,6,dem,0,0.5404,0.842,0.5393,0.488,0.5125,0.5655,0.5918
NC,7,gop,0,0.4139,0.0085,0.3866,0.3339,0.3593,0.4133,0.4396
NC,8,gop,0,0.3077,0,0.2913,0.2436,0.2644,0.3153,0.341
NC,9,gop,0,0.4367,0.0225,0.4089,0.3559,0.3808,0.4356,0.4626
NC,10,gop,0,0.2817,3e-4,0.2681,0.2236,0.2436,0.2899,0.3155
NC,11,open,0,0.4262,0.0335,0.4185,0.3658,0.3912,0.4446,0.4726
NC,12,dem,0,0.6319,0.9965,0.6254,0.5759,0.6006,0.6519,0.6747
NC,13,open,0,0.4858,0.246,0.4722,0.419,0.4448,0.4995,0.5266
NC,14,open,0,0.5611,0.8935,0.5509,0.4983,0.5242,0.5783,0.6045
ND,1,gop,1,NA,0,NA,NA,NA,NA,NA
NE,1,gop,0,0.4219,0.014,0.3996,0.3468,0.372,0.4269,0.4525
NE,2,gop,0,0.2195,3e-4,0.2143,0.1735,0.1916,0.235,0.2574
NE,3,gop,0,0.509,0.3162,0.4813,0.4278,0.4545,0.5078,0.534
NH,1,dem,0,0.5074,0.7452,0.5271,0.4731,0.4992,0.556,0.5826
NH,2,dem,0,0.5224,0.8725,0.5472,0.4938,0.5206,0.5747,0.6012
NJ,1,dem,0,0.602,0.9882,0.6129,0.5621,0.5876,0.6398,0.664
NJ,2,gop,0,0.4518,0.0665,0.4355,0.3837,0.4083,0.4623,0.4899
NJ,3,dem,0,0.5489,0.9375,0.5658,0.5123,0.5394,0.5924,0.617
NJ,4,gop,0,0.3654,0.0035,0.3585,0.3053,0.3305,0.3848,0.4118
NJ,5,dem,0,0.5406,0.9245,0.5603,0.5085,0.5342,0.588,0.6143
NJ,6,dem,0,0.5746,0.9812,0.595,0.5433,0.5702,0.6211,0.6457
NJ,7,dem,0,0.496,0.6342,0.5134,0.4598,0.4856,0.5418,0.5679
NJ,8,open,0,0.7109,1,0.7003,0.6545,0.6784,0.7241,0.7464
NJ,9,dem,0,0.5738,0.9702,0.5869,0.5322,0.56,0.6146,0.6391
NJ,10,dem,0,0.7984,1,0.7958,0.7581,0.7777,0.8159,0.8312
NJ,11,dem,0,0.5626,0.9728,0.5846,0.533,0.5595,0.6104,0.6367
NJ,12,dem,0,0.6534,0.9988,0.6599,0.6118,0.6357,0.6847,0.7067
NM,1,dem,0,0.5519,0.844,0.542,0.4878,0.5153,0.5698,0.5961
NM,2,gop,0,0.5075,0.2032,0.4661,0.4129,0.4386,0.4927,0.5212
NM,3,dem,0,0.5324,0.721,0.5229,0.47,0.496,0.5498,0.5772
NV,1,dem,0,0.5206,0.6355,0.5132,0.4605,0.4869,0.5394,0.5653
NV,2,gop,0,0.4211,0.0092,0.3865,0.3338,0.3592,0.4127,0.4394
NV,3,dem,0,0.5114,0.5545,0.5058,0.4513,0.4787,0.5328,0.5597
NV,4,dem,0,0.5196,0.6318,0.5141,0.4606,0.4862,0.5417,0.5666
NY,1,open,0,0.4784,0.396,0.4895,0.4353,0.462,0.5165,0.5445
NY,2,gop,0,0.4698,0.1368,0.4546,0.4001,0.426,0.4821,0.5109
NY,3,open,0,0.5185,0.6632,0.5177,0.4627,0.49,0.5467,0.5727
NY,4,open,0,0.551,0.9138,0.5568,0.5038,0.5296,0.5845,0.6113
NY,5,dem,0,0.8004,1,0.7985,0.7617,0.7808,0.818,0.8346
NY,6,dem,0,0.6319,0.9985,0.6412,0.5908,0.6165,0.6666,0.6904
NY,7,dem,0,0.8019,1,0.79990000000000006,0.7628,0.7823,0.8197,0.836
NY,8,dem,0,0.7519,1,0.7529,0.7126,0.733,0.774,0.7931
NY,9,dem,0,0.7397,0.9998,0.7415,0.6996,0.7209,0.7638,0.7832
NY,10,dem,0,0.8484,1,0.844,0.8108,0.8284,0.8614,0.8761
NY,11,gop,0,0.4391,0.05,0.4265,0.3721,0.3982,0.4537,0.4807
NY,12,dem,0,0.8489,1,0.845,0.8119,0.8301,0.8616,0.8765
NY,13,dem,0,0.878,1,0.8723,0.8422,0.8588,0.8885,0.901
NY,14,dem,0,0.7665,1,0.7664,0.7255,0.748,0.7873,0.8056
NY,15,dem,0,0.8395,0.9998,0.8356,0.801,0.8201,0.8538,0.8678
NY,16,dem,0,0.7015,0.9995,0.7063,0.6611,0.6847,0.7292,0.7512
NY,17,dem,0,0.5285,0.8585,0.5447,0.4905,0.5169,0.5726,0.598
NY,18,open,0,0.52,0.7028,0.5211,0.4671,0.4939,0.5489,0.574
NY,19,open,0,0.5008,0.5362,0.5037,0.4484,0.4747,0.5321,0.5593
